zip_code_id,postal_code,city,county_name,state_id,state_name,timezone,longitude,population,latitude
2652,49011,Athens,Calhoun,MI,Michigan,America/Detroit,-85.22291,2246,42.10523
2653,49012,Augusta,Kalamazoo,MI,Michigan,America/Detroit,-85.34642,3218,42.36122
2654,49013,Bangor,Van Buren,MI,Michigan,America/Detroit,-86.10846,5596,42.30567
2655,49014,Battle Creek,Calhoun,MI,Michigan,America/Detroit,-85.10611,21590,42.31107
2656,49015,Battle Creek,Calhoun,MI,Michigan,America/Detroit,-85.22609,26950,42.27127
2657,49017,Battle Creek,Calhoun,MI,Michigan,America/Detroit,-85.21208,21793,42.39987
2658,49021,Bellevue,Eaton,MI,Michigan,America/Detroit,-85.06394,6265,42.45915
2659,49022,Benton Harbor,Berrien,MI,Michigan,America/Detroit,-86.36565,31170,42.11367
2660,49024,Portage,Kalamazoo,MI,Michigan,America/Detroit,-85.61906,28710,42.20269
2661,49026,Bloomingdale,Van Buren,MI,Michigan,America/Detroit,-85.96541,2301,42.3772
2662,49027,Breedsville,Van Buren,MI,Michigan,America/Detroit,-86.06868,112,42.34809
2663,49028,Bronson,Branch,MI,Michigan,America/Detroit,-85.18654,6435,41.84822
2664,49029,Burlington,Calhoun,MI,Michigan,America/Detroit,-85.09245,1528,42.14344
2665,49030,Burr Oak,St. Joseph,MI,Michigan,America/Detroit,-85.3318,2441,41.85654
2666,49031,Cassopolis,Cass,MI,Michigan,America/Detroit,-85.98731,7346,41.89837
2667,49032,Centreville,St. Joseph,MI,Michigan,America/Detroit,-85.5095,3257,41.91821
2668,49033,Ceresco,Calhoun,MI,Michigan,America/Detroit,-85.09109,1596,42.2262
2669,49034,Climax,Kalamazoo,MI,Michigan,America/Detroit,-85.33688,2744,42.23117
2670,49036,Coldwater,Branch,MI,Michigan,America/Detroit,-85.0232,23612,41.90285
2671,49037,Battle Creek,Calhoun,MI,Michigan,America/Detroit,-85.24829,20715,42.33244
2672,49038,Coloma,Berrien,MI,Michigan,America/Detroit,-86.3258,9411,42.20296
2673,49040,Colon,St. Joseph,MI,Michigan,America/Detroit,-85.32893,3246,41.96419
2674,49042,Constantine,St. Joseph,MI,Michigan,America/Detroit,-85.66665,4733,41.85735
2675,49043,Covert,Van Buren,MI,Michigan,America/Detroit,-86.26737,2088,42.28577
2676,49045,Decatur,Van Buren,MI,Michigan,America/Detroit,-86.00068,5279,42.1053
2677,49046,Delton,Barry,MI,Michigan,America/Detroit,-85.40323,7900,42.51238
2678,49047,Dowagiac,Cass,MI,Michigan,America/Detroit,-86.12198,14693,42.00404
2679,49048,Kalamazoo,Kalamazoo,MI,Michigan,America/Detroit,-85.49849,25120,42.27284
2680,49050,Dowling,Barry,MI,Michigan,America/Detroit,-85.23696,1759,42.50591
2681,49051,East Leroy,Calhoun,MI,Michigan,America/Detroit,-85.24043,2683,42.1835
2682,49052,Fulton,Kalamazoo,MI,Michigan,America/Detroit,-85.32073,939,42.11428
2683,49053,Galesburg,Kalamazoo,MI,Michigan,America/Detroit,-85.4163,7473,42.28895
2684,49055,Gobles,Van Buren,MI,Michigan,America/Detroit,-85.85334,6329,42.37012
2685,49056,Grand Junction,Van Buren,MI,Michigan,America/Detroit,-86.06054,3509,42.40219
2686,49057,Hartford,Van Buren,MI,Michigan,America/Detroit,-86.16402,6545,42.18365
2687,49058,Hastings,Barry,MI,Michigan,America/Detroit,-85.2921,19067,42.6319
2688,49060,Hickory Corners,Barry,MI,Michigan,America/Detroit,-85.39534,1709,42.42654
2689,49061,Jones,Cass,MI,Michigan,America/Detroit,-85.82277,1641,41.87905
2690,49064,Lawrence,Van Buren,MI,Michigan,America/Detroit,-86.04889,3817,42.22107
2691,49065,Lawton,Van Buren,MI,Michigan,America/Detroit,-85.84016,6608,42.13619
2692,49066,Leonidas,St. Joseph,MI,Michigan,America/Detroit,-85.34999,648,42.03444
2693,49067,Marcellus,Cass,MI,Michigan,America/Detroit,-85.80193,4362,42.02408
2694,49068,Marshall,Calhoun,MI,Michigan,America/Detroit,-84.94083,14804,42.27682
2695,49070,Martin,Allegan,MI,Michigan,America/Detroit,-85.63117,2609,42.54045
2696,49071,Mattawan,Van Buren,MI,Michigan,America/Detroit,-85.78167,9921,42.22741
2697,49072,Mendon,St. Joseph,MI,Michigan,America/Detroit,-85.46057,3061,42.01201
2698,49073,Nashville,Barry,MI,Michigan,America/Detroit,-85.11775,5049,42.57738
2699,49074,Nazareth,Kalamazoo,MI,Michigan,America/Detroit,-85.5387,135,42.31736
2700,49075,Nottawa,St. Joseph,MI,Michigan,America/Detroit,-85.44912,115,41.91758
2701,49076,Olivet,Eaton,MI,Michigan,America/Detroit,-84.8876,4740,42.43181
2702,49078,Otsego,Allegan,MI,Michigan,America/Detroit,-85.72806,9236,42.46508
2703,49079,Paw Paw,Van Buren,MI,Michigan,America/Detroit,-85.90805,13024,42.24056
2704,49080,Plainwell,Allegan,MI,Michigan,America/Detroit,-85.57508,16214,42.46098
2705,49082,Quincy,Branch,MI,Michigan,America/Detroit,-84.87577,5854,41.94441
2706,49083,Richland,Kalamazoo,MI,Michigan,America/Detroit,-85.46056,7913,42.3775
2707,49084,Riverside,Berrien,MI,Michigan,America/Detroit,-86.3822,41,42.18254
2708,49085,Saint Joseph,Berrien,MI,Michigan,America/Detroit,-86.46029,23716,42.05012
2709,49087,Schoolcraft,Kalamazoo,MI,Michigan,America/Detroit,-85.68818,6340,42.12187
2710,49088,Scotts,Kalamazoo,MI,Michigan,America/Detroit,-85.4289,3656,42.18514
2711,49089,Sherwood,Branch,MI,Michigan,America/Detroit,-85.23597,1770,42.00464
2712,49090,South Haven,Van Buren,MI,Michigan,America/Detroit,-86.21614,14267,42.40865
2713,49091,Sturgis,St. Joseph,MI,Michigan,America/Detroit,-85.44609,19857,41.82444
2714,49092,Tekonsha,Calhoun,MI,Michigan,America/Detroit,-84.97578,1960,42.10005
2715,49093,Three Rivers,St. Joseph,MI,Michigan,America/Detroit,-85.64977,18381,41.97255
2716,49094,Union City,Branch,MI,Michigan,America/Detroit,-85.11419,4088,42.04734
2717,49095,Vandalia,Cass,MI,Michigan,America/Detroit,-85.88041,2146,41.90703
2718,49096,Vermontville,Eaton,MI,Michigan,America/Detroit,-85.01576,3327,42.64167
2719,49097,Vicksburg,Kalamazoo,MI,Michigan,America/Detroit,-85.48818,11124,42.11459
2720,49098,Watervliet,Berrien,MI,Michigan,America/Detroit,-86.24276,5944,42.16878
